ASV	S1	S10	S100	S101	S102	S103	S104	S105	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S12	S120	S121	S122	S123	S124	S125	S126	S127	S128	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S66	S67	S68	S69	S7	S70	S71	S72	S73	S74	S75	S76	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S94	S95	S97	S98	S99
ASV_1	1271	5658	1995	542	517	6713	660	2558	8763	1773	243	102	772	188	1561	469	8557	1183	3	287	28	6845	4	5543	5532	18253	10073	129	947	693	153	3701	1239	1896	2184	9870	1375	6605	427	401	6085	3786	965	2729	1034	4752	317	3240	421	649	667	1475	4621	2174	8698	1930	6510	1834	1559	1015	2456	7987	1379	5648	879	4523	1534	1618	1229	3817	765	5534	1022	4009	321	1690	1311	24761	750	16312	422	4439	7642	1074	595	2592	144	1588	959	1259	342	4546	1795	405	5819	1352	815	26	2749	3660	554	1770	7407	460	6326	2437	4019	248	740	2684	1692	7074	1963	9197	182	474	26	470	2236	2180	4738
ASV_2	4547	397	6544	1692	1420	3005	4611	1237	6380	931	856	1373	1388	1890	2937	1352	1396	5076	591	381	426	2726	169	3220	2705	3238	3206	2569	2097	367	2366	4400	6830	568	9946	9118	428	4182	1857	2270	2480	5487	1518	3693	702	6090	2133	5815	893	4591	6179	3105	2334	796	293	2698	4511	5744	5834	4445	4962	2770	9306	2677	4344	1128	3930	1306	5351	11668	2029	1087	5555	5612	2434	2648	2934	1841	1682	4652	1605	1852	5525	1799	1455	1892	20	41	5201	1757	1399	1089	339	2961	3533	445	167	457	4026	523	2933	3350	7935	1138	245	4204	4612	890	2705	5098	1427	2438	1004	1389	497	4474	331	6136	2996	9742	1543
ASV_3	1584	26157	50	1820	1840	5254	595	2065	8653	1861	134	103	233	208	1260	2239	3117	114	57	946	405	8854	4	6921	6218	3996	2023	22	141	137	41	1293	390	1348	800	1210	320	394	19782	10	30	301	73	781	1894	62	16	228	5848	184	122	32	1943	37673	4979	371	134	269	2	1962	56	4202	1500	627	102	3277	2661	3531	205	2013	1036	2685	36	125	2615	1401	5	12813	3408	12484	1621	160	3532	11204	1870	35	70	528	17	1731	874	28499	7517	376	970	10910	2093	293	7669	8137	720	498	253	157	1809	5	468	396	4706	34	141	4330	88	317	7	206	2499	1015	108	178	90
ASV_4	918	20	1797	239	1675	183	303	937	1152	1202	2856	1801	7017	2832	107	68	179	170	68	49	104	147	2	7964	418	2034	8114	61	371	216	60	3285	1479	91	3567	2375	167	2622	767	175	5761	3936	1682	5801	959	7851	1546	3961	518	1851	2193	1821	3576	311	661	1087	3589	3481	3124	1924	1903	2233	2384	1118	861	13084	2820	2861	6571	832	23	254	230	492	192	396	118	13258	216	990	594	1614	6501	1180	833	2109	13	82	2458	1144	146	488	327	742	3338	68	67	25	1060	148	64	1221	2539	429	120	1694	5353	466	958	3745	812	58	1321	901	214	1607	138	2662	2442	2397	482
ASV_5	2058	35	7472	38	180	558	64	516	420	424	239	197	438	472	294	53	180	352	84	274	41	1813	24	3126	1844	2037	7995	1427	1351	828	2354	653	1521	273	2868	582	34	636	226	199	507	614	473	14789	932	1786	6415	1015	250	622	7069	653	322	52	92	256	760	1715	908	5084	1242	1956	2140	1597	2476	1004	327	868	1971	5958	156	192	4693	2190	592	2961	2116	2276	428	3864	532	945	1905	463	793	1781	19	36	467	131	986	102	96	239	647	17	33	87	180	889	357	5892	9474	1203	1409	5986	137	529	561	528	115	988	60	169	63	3004	83	3417	1950	2767	2650
ASV_6	22	518	17	73	6594	42	52	836	787	685	208	8011	959	567	76	8085	323	135	9	10539	173	24	7	4	6456	315	23	1039	3473	480	288	363	844	210	384	10	2124	645	15250	2	6	546	2	3	8314	38	7	397	256	5697	154	109	0	1684	26	4	5	416	8	136	4	574	8057	319	79	131	898	338	32	12	2287	29	18	516	11880	807	99	18	2343	219	4754	23	55	5294	155	9	5199	1005	25	138	1229	5255	594	40	46	6039	63	110	1669	1316	906	26	18	20	56	16	355	1631	261	46	11	5	537	108	8	901	19986	1253	44	3046	204
ASV_7	288	161	1087	1342	1878	129	8001	113	1393	1524	1162	2265	3343	9265	2848	1243	7276	12485	1161	413	645	2077	542	27	1182	1573	229	1049	391	653	1485	323	14	147	3815	52	18	945	177	78	1252	1768	1214	3	162	2499	39	127	163	203	384	848	691	32	126	2208	1	126	0	4336	3	0	3	8	5	185	982	171	967	397	416	102	1868	699	283	2630	1316	275	319	3374	380	579	73	146	592	360	5	47	4113	54	868	79	57	440	613	100	62	1768	145	64	2438	1307	844	42	46	826	3	66	27	0	1088	269	6	332	2874	476	17	824	74	371	298
ASV_8	3	103	53	4	9445	2215	43	0	22	5	187	9162	3158	174	78	876	145	55	18	11292	745	13	5	92	109	575	100	50	136	168	22	15	8	36	15	72	2004	457	963	15	759	10252	106	134	12270	260	16	3	70	99	401	3	11	2258	19	6	9	0	3	4	4	5	20	36	0	1	1389	7	1	8	0	55	1	2	173	1	0	66	7	50	12	4	191	320	139	22	7765	14435	187	9	21	166	323	4	237	160	8	2	15529	40	1	0	15	3	15	4	3	33	204	2	53	16	2514	673	11	232	4600	972	68	3121	9
ASV_9	1907	254	832	1092	1437	85	1974	2780	831	3040	3527	1695	7656	4727	3101	266	1556	3712	2844	70	705	3317	612	2977	932	1175	1004	3688	833	1776	2220	471	21	466	369	1396	19	451	179	202	2836	1302	1214	221	361	1849	65	990	469	283	349	481	1635	70	192	410	37	32	18	2489	19	28	15	52	8	314	221	68	179	1483	2489	49	1056	1516	116	360	1289	470	145	549	456	258	1592	323	198	443	2	67	725	1039	1051	64	105	839	1141	119	63	2293	113	145	2603	1249	703	129	12	689	18	86	84	7	2400	1823	19	158	1127	1418	12	723	475	384	193
ASV_10	486	1498	879	18	81	159	7	16	13373	38	122	49	209	183	1066	41	553	215	1	152	6	167	2	573	422	1555	597	16	18	20	20	0	1537	51	11	3577	226	4386	179	2459	321	1946	305	267	127	397	432	272	83	58	610	202	772	229	6804	3180	2392	632	1644	1038	4271	710	861	1840	1172	225	66	258	252	39	522	133	24	375	46	139	386	79	2116	14130	200	472	608	60	204	295	0	240	189	39	241	10	62	137	192	415	1080	17	132	132	817	8	289	0	1012	149	769	70	443	685	69	36	1967	11630	49	795	17	668	439	682	635
