ASV	domain	phylum	class	order	family	genus	species
ASV_1	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
ASV_2	Bacteria	NA	NA	NA	NA	NA	NA
ASV_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
ASV_4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
ASV_5	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	NA
ASV_6	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV_7	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	NA
ASV_8	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_9	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	NA
ASV_10	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	NA	NA
ASV_11	Bacteria	NA	NA	NA	NA	NA	NA
ASV_12	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	NA
ASV_13	Bacteria	NA	NA	NA	NA	NA	NA
ASV_14	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	NA	NA
ASV_15	Bacteria	NA	NA	NA	NA	NA	NA
ASV_16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
ASV_17	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	NA
ASV_18	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	NA
ASV_20	Bacteria	NA	NA	NA	NA	NA	NA
ASV_21	Bacteria	NA	NA	NA	NA	NA	NA
ASV_22	Bacteria	NA	NA	NA	NA	NA	NA
ASV_23	Bacteria	NA	NA	NA	NA	NA	NA
ASV_24	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_25	Bacteria	NA	NA	NA	NA	NA	NA
ASV_27	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2834	NA
ASV_28	Bacteria	NA	NA	NA	NA	NA	NA
ASV_29	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
ASV_30	Bacteria	NA	NA	NA	NA	NA	NA
ASV_33	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA
ASV_34	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	NA
ASV_35	Bacteria	NA	NA	NA	NA	NA	NA
ASV_36	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria_genus_incertae_sedis	NA
ASV_37	Bacteria	NA	NA	NA	NA	NA	NA
ASV_38	Bacteria	NA	NA	NA	NA	NA	NA
ASV_39	Bacteria	NA	NA	NA	NA	NA	NA
ASV_40	Bacteria	NA	NA	NA	NA	NA	NA
ASV_42	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_43	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_44	Bacteria	NA	NA	NA	NA	NA	NA
ASV_45	Bacteria	NA	NA	NA	NA	NA	NA
ASV_46	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	NA
ASV_47	Bacteria	NA	NA	NA	NA	NA	NA
ASV_48	Bacteria	NA	NA	NA	NA	NA	NA
ASV_49	Bacteria	NA	NA	NA	NA	NA	NA
ASV_50	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV_51	Bacteria	NA	NA	NA	NA	NA	NA
ASV_52	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	NA
ASV_53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
ASV_54	Bacteria	NA	NA	NA	NA	NA	NA
ASV_55	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV_56	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	NA
ASV_57	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	NA
ASV_59	Bacteria	NA	NA	NA	NA	NA	NA
ASV_60	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	NA
ASV_61	Bacteria	NA	NA	NA	NA	NA	NA
ASV_62	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA	NA
ASV_63	Bacteria	NA	NA	NA	NA	NA	NA
ASV_64	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	NA
ASV_65	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	PeH17	NA
ASV_66	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	NA
ASV_67	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
ASV_68	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	NA
ASV_70	Bacteria	NA	NA	NA	NA	NA	NA
ASV_71	Bacteria	NA	NA	NA	NA	NA	NA
ASV_72	Bacteria	NA	NA	NA	NA	NA	NA
ASV_73	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas_A	NA
ASV_74	Bacteria	NA	NA	NA	NA	NA	NA
ASV_75	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	NA
